Operation,Param #1,Param #2,Param #3,RequiresRegs,RequiresInReduce,LatencyOf,LatencyInReduce,BuiltInLatency,
isAllocation,,,,0,0,0,0,0,
FieldApply,,,,0,0,0,0,0,
VectorApply,,,,0,0,0,0,0,
VectorSlice,,,,0,0,0,0,0,
VectorConcat,,,,0,0,0,0,0,
DataAsBits,,,,0,0,0,0,0,
BitsAsData,,,,0,0,0,0,0,
VarRegNew,,,,0,0,0,0,0,
VarRegRead,,,,0,0,0,0,0,
VarRegWrite,,,,0,0,0,0,0,
LUTBankedRead,,,,1,1,1,1,0,
RegRead,,,,0,0,0,0,0,
RegWrite,,,,0,0,1,1,0,
RegReset,,,,0,0,1,1,0,
RegFileBankedRead,,,,1,1,1,1,0,
RegFileBankedWrite,,,,0,0,1,1,0,
RegFileShiftIn,,,,0,0,1,1,0,
StreamInBankedRead,,,,1,1,1,1,0,
StreamOutBankedWrite,,,,0,0,0,0,0,
BufferedOutWrite,,,,0,0,0,0,0,
FIFOBankedEnq,,,,0,0,1,1,0,
FIFOBankedDeq,,,,1,1,2,2,1,
LIFOBankedPush,,,,0,0,1,1,0,
LIFOBankedPop,,,,1,1,2,2,1,
FIFONumel,,,,0,0,0,0,0,
FIFOAlmostEmpty,,,,0,0,0,0,0,
FIFOAlmostFull,,,,0,0,0,0,0,
FIFOEmpty,,,,0,0,0,0,0,
FIFOFull,,,,0,0,0,0,0,
SRAMBankedReadSyncMem,,,,0,0,2,2,0,
SRAMBankedRead,,,,0,0,2,2,0,
SRAMBankedWrite,,,,0,0,1,1,0,
FIXMEFIXMEFIXMELineBufferEnq,,,,0,0,3,3,0,
FIXMEFIXMEFIXMELineBufferLoad,,,,1,1,1,1,0,
DelayLine,,,,0,0,0,0,0,
GetDRAMAddress,,,,0,0,0,0,0,
Not,,,,1,1,0.2,0.2,0,
And,,,,1,1,0.2,0.2,0,
Or,,,,1,1,0.2,0.2,0,
XOr,,,,1,1,0.2,0.2,0,
XNor,,,,1,1,0.2,0.2,0,
FixInv,,,,1,1,0.1,0.1,0,
FixNeg,b,,,1,1,0.1,0.1,0,
FixAdd,b,,,1,1,0.03125*b,0,0,
FixSub,b,,,1,1,0.03125*b,0.03125*b,0,
FixMul,b,,,0,0,0.1875*b,0.1875*b,0,
FixDiv,b,,,0,0,0.625*b,0.625*b,0,
FixMod,b,,,0,0,0.5*b,0.5*b,0,
FixLst,b,,,1,1,0.4,0.4,0,
FixLeq,b,,,1,1,0.4,0.4,0,
FixNeq,b,,,1,1,0.2,0.2,0,
FixEql,b,,,1,1,0.2,0.2,0,
FixAnd,b,,,1,1,0.2,0.2,0,
FixOr,b,,,1,1,0.2,0.2,0,
FixXor,b,,,1,1,0.2,0.2,0,
FixSLA,b,,,1,1,0.2,0.2,0,
FixSRA,b,,,1,1,0.2,0.2,0,
FixSRU,b,,,1,1,0.2,0.2,0,
FixFMA,b,,,0,0,0.1875*b,0.1875*b,0,
Mux,,,,1,1,0.5,0,0,
Min,,,,1,1,0.5,0.5,0,
Max,,,,1,1,0.5,0.5,0,
FixAbs,b,,,1,1,0.5,0.5,0,
SatAdd,,,,1,1,0.03125*b,0,0,
SatSub,,,,1,1,0.03125*b,0.03125*b,0,
SatMul,,,,0,0,0.1875*b,0.1875*b,0,
SatDiv,,,,0,0,0.625*b,0.625*b,0,
UnbMul,,,,0,0,0.1875*b,0.1875*b,0,
UnbDiv,,,,0,0,0.625*b,0.625*b,0,
UnbSatMul,,,,0,0,0.1875*b,0.1875*b,0,
UnbSatDiv,,,,0,0,0.625*b,0.625*b,0,
FltAbs,,,,0,0,0,0,0,
FltNeg,,,,0,0,0,0,0,
FltAddFloat,,,,0,0,12,12,0,
FltSubFloat,,,,0,0,12,12,0,
FltMulFloat,,,,0,0,8,8,0,
FltDivFloat,,,,0,0,28,28,0,
FltLtFloat,,,,0,0,2,2,0,
FltLeqFloat,,,,0,0,2,2,0,
FltNeqFloat,,,,0,0,2,2,0,
FltEqlFloat,,,,0,0,2,2,0,
FltLogFloat,,,,0,0,22,22,0,
FltExpFloat,,,,0,0,20,20,0,
FltSqrtFloat,,,,0,0,28,28,0,
FltInvSqrtFloat,,,,0,0,32,32,0,
FltRecipFloat,,,,0,0,29,29,0,
FixConvert,,,,1,0,1,1,0,
FltConvert,,,,0,0,6,6,0,
FltPtToFixPtFloat,,,,0,0,6,6,0,
FixPtToFltPtFloat,,,,0,0,5,5,0,
FltTanhFloat,,,,0,0,68,68,0,
FltSigmoidFloat,,,,0,0,61,61,0,
FltFMAFloat,,,,0,0,19,19,0,
FltAccumFloat,,,,0,0,22,22,0,
Hwblock,,,,0,0,1,1,0,
ParallelPipe,,,,0,0,1,1,0,
UnitPipe,,,,0,0,0,0,0,
OpForeach,,,,0,0,1,1,0,
OpReduce,,,,0,0,1,1,0,
OpMemReduce,,,,0,0,1,1,0,
UnrolledForeach,,,,0,0,1,1,0,
UnrolledReduce,,,,0,0,1,1,0,
Switch,,,,0,0,0,0,0,
SwitchCase,,,,0,0,0,0,0,
ExitIf,,,,0,0,0,0,0,
BreakpointIf,,,,0,0,0,0,0,
PrintIf,,,,0,0,0,0,0,
PrintlnIf,,,,0,0,0,0,0,
AssertIf,,,,0,0,0,0,0,
ToString,,,,0,0,0,0,0,
StringConcat,,,,0,0,0,0,0,
FixRandom,,,,0,0,0,0,0,
FltRandom,,,,0,0,0,0,0,
